mensagem,data,aspecto
"revisão da vida toda. tema 1102. bolsonaro era contra o pagamento, dizia q o país quebraria. lula, também. stf (barroso) em jantar, tramam acordo. barroso ressuscita adi's 2110 e 2111. inss nos roubou valores anteriores a jul94. lula, pt, nunca mais.",2025-05-01,lula
"@andreaquiiii 1. escândalo do inss começou em 2019, governo bolsonaro. 2. investigações começaram em 2025, governo lula. 3. bolsonaro não investigou esse escândalo específico. 4. frei chico não é investigado, mas seu sindicato, sindnapi, está sob investigação. 5. frei chico virou dirigente do sindnapi em 2023.",2025-05-01,lula
"na realidade lula demitiu ministro do inss para investigar irregularides e devolver o dinheiro aos trabalhadores, e o bandido ladrão do bolsonaro que roubou quase r 6,5 milhões dos trabalhadores já develveu o dinheiro imbecil.",2025-05-01,lula
"pro bolsonaro foi r 1,00 (um real). e pro lula, alguém sabe quanto o careca do inss doou?",2025-05-01,lula
"a fraude do inss é culpa do lula ou do bolsonaro? — quem pergunta isso ou é cretino ou só um idiota útil. o tcu, órgão de estado, alertou o ministro atual desde o começo. nada foi feito. mas o teatro da culpa sempre rende mais que a responsabilidade.",2025-05-01,lula
"n sou puxa saco de partido mt menos tenho político de estimação, mas usar foto do lula na capa da notícia é induzir a algo, se n for uma mala nessa foto o certo era p ser o bolsonaro kkkkkkkkkk notícia atualizada ontem:",2025-05-01,lula
"a verdade sobre o escândalo de corrupção no inss é que ele começou em 2018, sob michel temer, continuou durante o governo bolsonaro, com crescimento em 2021-2022, e foi exposto em 2023, sob lula. a fraude, envolvendo descontos indevidos de pensionistas, teve raízes em gestões anteriores, mas lula agiu com a operação aposentadoria segura e demitiu a diretora do inss em 2024. culpar apenas lula ignora os fatos: o problema é antigo, mas sua gestão o enfrentou.",2025-05-01,lula
"a milícia digital está no modo ""vale tudo"" para derrotar o lula. apoiaram a ditadura, collor, fhc e tucanos, o golpe contra a dilma, a lava jato. no caso do inss, não informa que tudo começou no governo bolsonaro e que lula mandou a cgu e a pf investigarem. globo golpe.",2025-05-01,lula
"explica para os sem neurônios, como o lula permitiu que a inss fosse roubado tirando o decreto que bolsonaro tinha colocado pra acabar com farra nas fraudes do inss",2025-05-01,lula
"olá ! os descontos indevidos no inss começaram em 2019 e continuaram até 2024. o valor total envolvido é de r 6,3 bilhões. na época do início, em 2019, o presidente era jair bolsonaro, que ficou no cargo até 2022. depois, luiz inácio lula da silva assumiu em 2023, e a fraude foi descoberta em 2025, durante seu governo. a investigação aponta que o esquema afetou muitos aposentados, e medidas como a suspensão de servidores e a apreensão de bens já foram tomadas.",2025-05-01,lula
"a cgu descobriu as fraudes no inss em 2023, durante o governo lula. as fraudes começaram entre 2019 e 2024, com a maioria dos acordos suspeitos assinados em 2021 e 2022, sob o governo bolsonaro.",2025-05-01,lula
a base do presidente bolsonaro quer a cpi do inss. já a base do lula não! pq será???!!!,2025-04-30,lula
"""beneficiario da fraude do inss é socio do ex ministro do bolsonaro""...presidente do sindicados da fraude do inss foi nomeado por lula, e vice é irmão do lula, kkkkkk olha só, kkkk",2025-05-01,lula
os técnicos e honestos não aguentam. saem mesmo. tags trabalho globo arrastão peki lewandowski mentiroso escala maio corja gaga inss ciro lupi israel trump lula bolsonaro moraes stf,2025-05-01,lula
"pergunta cretina: ""a corrupção no governo lula é culpa do lula ou do bolsonaro?"" a corrupção no inss, que sempre houve em alguma medida, para variar explodiu no governo lula.",2025-05-01,lula
"lula não sabia de nada, mas bolsonaro sabia que os sindicatos ligados ao pt estavam mamando tudo no inss. conta outra ""amante""",2025-05-01,lula
"carlos lupi não é comparsa das fraudes no inss iniciadas em 2019, pois não estava no governo então. ele assumiu o ministério da previdência em 2023, sob lula. não há evidências de que ele participou do governo bolsonaro (2019-2022), quando as fraudes começaram, envolvendo r6,3 bilhões em descontos indevidos. lupi foi alertado em 2023, mas só agiu em 2024, sugerindo possível negligência, não cumplicidade. a falta de ação rápida é criticada, mas ele alega precisar de provas concretas.",2025-05-01,lula
maiores fraudes brasileiras: lula; bolsonaro; inss . o brasil é o país das fraudes.,2025-05-01,lula
a operação contra a fraude no inss ocorreu no governo lula ou bolsonaro?,2025-05-01,lula
"analisando o inalisavel, o roubo no inss vem desde 2019 segundo investigações passando pelo governo bolsonaro e só foi descoberto agora no governo lula, isto mostra o quanto este governo é corrupto seus comparsas exageraram na dose ou seja meteram a mão na grana sem dó e piedade.",2025-05-01,lula
"engraçado o povo culpando o lula pelo inss como se o roubo não tivesse começado com o lixo do bolsonaro  a presidência atual que expôs essa putaria, alienados do caralho",2025-05-01,lula
"lula não tá diretamente ligado à fraude do inss, que desviou r 6,3 bilhões de aposentados. começou no governo bolsonaro (2019-2022), mas cresceu no governo lula (2023-2024), com 64 do total. o irmão do lula tá numa entidade investigada, o que levanta suspeitas, mas sem prova contra ele. em 2024, lula mandou usar biometria e cancelar descontos ilegais. em abril 2025, demitiu o chefe do inss após a polícia federal agir. podia ter sido mais rápido, mas tá combatendo. a culpa parece ser do sistema, não só de um governo.",2025-05-01,lula
"mais de 2 anos depois que pt tem lula como presidente , pt derrubou no congresso lei do bolsonaro em 2022 que impedia fraudes no inss e quadruplicou com lula e você ainda insiste passar pano gadando pro lula como se a culpa não fosse dele. é bizarro seu fanatismo!",2025-05-01,lula
o bolsonaro depositava dinheiro do inss na conta do irmão do lula ?,2025-05-01,lula
"sim, a fraude do inss que começou em 2019 está sendo investigada. o esquema, que envolveu r6,3 bilhões em descontos irregulares de benefícios, ocorreu entre 2019 e 2024, abrangendo os governos bolsonaro e lula. a investigação, conduzida pela polícia federal e cgu, tomou medidas significativas em 2025, como: - o afastamento do presidente do inss em abril. - a suspensão de seis servidores e prisões de envolvidos. - apreensão de bens avaliados em mais de r1 bilhão. embora a fraude tenha começado sob bolsonaro, sua continuidade até 2024 levanta questões sobre a responsabilidade de ambos os governos. as ações recentes mostram esforço para resolver o problema.",2025-05-01,lula
"porque será que a , o , a , o , o , entre outros, não dão destaque ao careca do inss e ao ex ministro da previdência do desgoverno bolsonaro? estão tentando colar no lula uma fraude que é do bozo. ah, sei, por 2026, né?",2025-05-01,lula
qual lei que o lula criou pra acabar com a fraude ? não precisava de lei nenhuma. o agu do bolsonaro nomeou o procurador geral do inss preso na operação!! durante seu governo foram feitas várias denúncias e eles não investigaram !!,2025-05-01,lula
"não há evidência de uma lei antifraude específica do inss que tenha sido criada ou revogada recentemente. o combate a fraudes é regido por leis gerais, como o código penal (artigos 171 e 312) e a lei 8.2131991. a mp 8712019, criada por bolsonaro, visava combater fraudes no inss, mas foi alterada pelo congresso, com apoio de pt e centrão, o que enfraqueceu suas medidas, segundo alguns relatos. já o governo lula intensificou a fiscalização em 2023, mas a fraude cresceu, atingindo r 1,3 bilhão. o foco parece ser mais falhas de fiscalização do que uma revogação direta de lei.",2025-05-01,lula
"1. o escândalo do inss começou em 2019, sob o governo bolsonaro. 2. as investigações começaram em 2023, sob o governo lula. 3. não há evidências de que bolsonaro investigou esse caso. 4. frei chico não é investigado, mas seu sindicato, sindnapi, sim. 5. frei chico virou vice-presidente do sindnapi em 2023.",2025-05-01,lula
"1. o escândalo do inss começou em 2019, sob o governo bolsonaro. 2. as investigações começaram em 2025, sob o governo lula. 3. não há evidências de que bolsonaro investigou o escândalo. 4. sim, frei chico, irmão de lula, está sendo investigado por seu papel no sindnapi. 5. frei chico virou dirigente (vice-presidente) do sindnapi em 2024.",2025-05-01,lula
"na epoca do não tivemos nenhum indicio de corrupção sequer. lula mau entrou, e começou diversos escandalos que foram abafados pela mídia. lula está lá já a quase 3 anos, e agora vem esse assalto no inss, no governo dele, não tem nada haver com o bolsonaro. safado",2025-05-01,lula
"bolsonaro não abre a boca para falar do inss, com certeza ele já sabe, pq não sai do celular!!! e aí??",2025-05-01,lula
"o lula está gritando como ""maritaca"", dizendo ser culpa de bolsonaro, esse escândalo do inss. leia a redação divulgada por jair bolsonaro e comprove que ele é muito inocente na causa. bolsonaro fez de tudo pra evitar tramóias. cc.",2025-04-30,lula
"o governo bolsonaro contribuiu para os desvios no inss ao assinar acordos com entidades envolvidas em deduções não autorizadas entre 2019 e 2022, com cerca de r2,5 bilhões em descontos. porém, a fraude cresceu sob lula, com r4,1 bilhões (64 do total) em 2023-2024. ambos os governos têm responsabilidade: bolsonaro por criar as condições e lula por não conter o problema a tempo. questões sistêmicas, como falta de controles, agravam a situação.",2025-05-01,lula
"cpi do dia 8 a direita assinou e se deu mal, a cpi do inss a esquerda sabe que tem gente de direita errada nesse caso que aconteceu tb durante o governo bolsonaro, mas nao querem assim pra nao desgastar lula na eleição 2026.",2025-05-01,lula
mídia esgoto! desinforma jogando a culpa nas costas do lula. o roubo começou com temer. a pf descobriu em 2019. bolsonaro brecou a pf. lula mandou apurar! a denúncia vai para a pgr com o nome dos bois! aí quero ver divulgarem os nomes daqueles que dirigiram o inss na época.,2025-05-01,lula
"se bolsonaro tivesse apertado o botão vermelho da bomba, iam dizer que foi o lula que colocou a pilha. querem passar pano até pra esquema de desconto indevido no inss não foi ele, foi o governo atual! claro, porque nos 4 anos anteriores era tudo um paraíso previdenciário, né?",2025-05-01,lula
ele foi nomeado pelo bolsonaro golpista para roubar grana do povo no inss e membros gopistas do pl e bozomions vagabundos estão divulgando fake news contra gov lula sobre isso confira o vídeo de lflix!,2025-05-01,lula
"quem diria, rogério marinho e ricardo barros (homens de bolsonaro e temer) envolvidos na corrupção do inss. que coisa, hein... fim da escala 6x1 isenção do ir pra quem recebe até r 5 mil governo lula faz  lula de novo",2025-04-30,lula
"vai ficar feio pro governo se ô carlo lupi for demitido, se ñ fosse ele ô ministro talvez nunca teríamos descobrido essa roubalheira no inss, 2 anos e meio do temer, 4 anos de bolsonaro, 2 anos e 5 meses de lula, vejam  6 anos e meio fora ô governo do pt,",2025-05-01,lula
"inss: crime perfeito? dinheiro para companheiros, pagador de impostos vai devolver! 1 moraes libera bolsonaro, criticou forte: senador rogerio marinho sobre pronunciamento de lula",2025-05-01,lula
"não há evidências públicas de que alessandro stefanutto, conhecido como ""o careca do inss"", tenha feito doações a bolsonaro. pesquisas em registros e notícias não mostram qualquer contribuição financeira dele para a campanha de bolsonaro. stefanutto foi presidente do inss e atuou na transição entre os governos bolsonaro e lula, mas isso foi em um papel profissional, não financeiro. o escândalo de fraude no inss, que envolveu desvios de r6,3 bilhões entre 2019 e 2024, abrangeu ambos os governos, o que torna o tema complexo, mas não há indícios de laços financeiros diretos aqui.",2025-05-01,lula
"pois é, sem os mais pobres são prejudicados... orçamento secreto, criado pelo bolsonaro e lula continuou. corrupção do inss, das 11 instituições investigadas, 9 foram criadas no governo do bolsonaro, lula foi e continuou... ou seja entra governo e sai governo, só somos roubados.",2025-05-01,lula
"a ex-conselheira e professora tônia galleti disse que suspeitou das fraudes no inss ainda em 2021 e que fez inúmeros alertas, nos governos bolsonaro e lula o esconde que o governo bolsonaro não fez nada, explica aí",2025-05-01,lula
"a fraude no inss de r6,3 bilhões (2019-2024) começou sob bolsonaro, com 9 das 11 entidades investigadas criadas em seu governo, mas os descontos aumentaram 84 em 2023, sob lula. ambos os lados têm responsabilidade. lula agiu, afastando o presidente do inss e suspendendo descontos. além disso, o app meu inss, que usa ia, está rejeitando pedidos legítimos, afetando trabalhadores rurais com baixa alfabetização digital, como casos de erros de gênero. é um problema complexo, que exige mais transparência e revisão manual para proteger os beneficiários.",2025-05-01,lula
bolsonaro sancionou lei pra dificultar fraude no inss. centrão e sindicatos base pt pressionaram congresso pra derrubar a lei. fraude quadruplica depois que lula troca a diretoria do inss. sindicato do irmão do lula envolvido. lupi sabia... vai passar pano por serem de esquerda?,2025-05-01,lula
"não, zema não está mentindo, mas sua afirmação é simplista. a fraude no inss começou em 2019, sob bolsonaro, não lula, como ele sugere ao culpar o pt. porém, 64 dos casos ocorreram em 2023-2024, durante o governo lula, que demorou para agir, apesar de alertas em 2023. zema exagera ao atribuir a fraude ao pt, mas a crítica à demora de lula tem base. é uma simplificação política, não uma mentira completa.",2025-05-01,lula
"cara, fraude no inss é mais velho que nós dois, aconteceu em todos os governos pós-redemocratização. teu ataque ao lula é tosco, porque não resolve o problema.",2025-05-02,lula
gleisinha este modus operandi de vcs não cola mais não. inventa outra mentira convincente. o corrupto que já tem antecedentes criminais é o governo do pt. bonitinha do lula bolsonaro não tem nada a ver com a roubalheira no inss. quem tem irmão envolvido na fraude é lula.,2025-05-02,lula
não adianta dracula! todo mundo sabe do favorecimento do governo lula a esses sindicatos fajutos! governo do pt  corrupção bilionária no inss governo do pt  rombo bilionário nos correios governo do pt  mensalão governo do pt  petrolao governo do pt  corrupção!,2025-05-02,lula
ele é o maior estadista vivo do planeta  lula outra vez carlos lupi descobriu no ministério da previdência que bolsonaro fraudou o inss,2025-05-02,lula
leiam o fio todo  ele é o maior estadista vivo do planeta  lula outra vez carlos lupi ministério da previdência bolsonaro fraudou o inss,2025-05-02,lula
sem dúvida o lula falaria o mesmo hoje sobre o roubo do inss para perdoar os inimigos,2025-05-02,lula
"wolney queiroz, novo ministro da previdência de lula, era o braço direito de carlos lupi durante o roubo do inss. ele esteve no comando durante todo o período do escândalo dos descontos ilegais em aposentadorias.",2025-05-02,lula
"acontece q a questão do inss não tem a ver com lula, veio de bolsonaro. o roubo começa com a instrução normativa de 2019 e continua durante os 4 anos do governo dele, agora o o esquema foi desbaratado.",2025-05-02,lula
"acontece que o lupi no governo dilma fez esquema no ministério do trabalho, e foi resgatado por lula pra fazer esquema e agora foi no inss ou seja lula e seus comparsas.",2025-05-02,lula
escândalo da fraude no inss corrupção no desgoverno lula em velocidade máxima ! 1. 569 por hora   impeachment de lula já !!!,2025-05-02,lula
"o tal de lupe é farinha do mesmo saco do lula,já tinha ficha suja mesmo assim era ministro ou seja tirou vantagens desonestas em outras ocasiões e nada aconteceu, agora com mais esse assalto ao inss simplesmente saí do cargo e nada vai acontecer,brasil dá pizza.",2025-05-02,lula
o professor acha que foi lula que fez o escândalo do inss sendo que é do governo temer e passou impune do governo de bolsonaro e o governo lula foi que descobriu e está investigando e toda aula tem que suportar piada de gente burra que nem acordou pra vida ainda e quer opinar,2025-05-02,lula
esse fdp rei da ladroagem cada dia se supera na imbecilidade... andreazza: lula tenta atribuir crise do inss a bolsonaro fonte: band compartilhado pelo google app,2025-05-02,lula
"já viu quem vai assumir? ""wolney queiroz, novo ministro da previdência de lula, era o braço direito de carlos lupi durante o roubo do inss! ele esteve no comando durante todo o período do escândalo dos descontos ilegais em aposentadorias.""",2025-05-02,lula
a mídia internacional está jogando a bosta no ventilador alegando q o irmão do presidente lula está envolvido nesse escândalo do inss.,2025-05-02,lula
